horizon,condition,classification,episode_id,episode_start,episode_end,condition_days,anchor_date,anchor_position,window_start_date,window_end_date,condition_value_at_anchor,btc_return,gold_return,spread_btc_minus_gold
1,vix_change_top_10pct,market_observable,130,2023-07-27,2023-07-27,1,2023-07-27,1489,2023-07-27,2023-07-27,0.08846344328220779,-0.008131075625700035,-0.015836715414990543,0.007705639789290508
1,vix_change_top_10pct,market_observable,131,2023-08-02,2023-08-02,1,2023-08-02,1493,2023-08-02,2023-08-02,0.14415317321257737,-0.004205326466792059,-0.004776993918500061,0.0005716674517080023
1,vix_change_top_10pct,market_observable,132,2023-08-15,2023-08-15,1,2023-08-15,1502,2023-08-15,2023-08-15,0.10495557538098277,-0.006108767427521755,-0.0026580037072090335,-0.0034507637203127217
1,vix_change_top_10pct,market_observable,133,2023-09-21,2023-09-21,1,2023-09-21,1528,2023-09-21,2023-09-21,0.1471437389347341,-0.012354593123170332,-0.007274811145922655,-0.005079781977247677
1,vix_change_top_10pct,market_observable,134,2023-09-26,2023-09-26,1,2023-09-26,1531,2023-09-26,2023-09-26,0.11396246582890468,-0.0032004871789030886,-0.008023084937964775,0.004822597759061686
1,vix_change_top_10pct,market_observable,135,2023-10-03,2023-10-03,1,2023-10-03,1536,2023-10-03,2023-10-03,0.11620440368645157,-0.024983196554416054,-0.002892421000057155,-0.0220907755543589
1,vix_change_top_10pct,market_observable,136,2023-10-13,2023-10-13,1,2023-10-13,1544,2023-10-13,2023-10-13,0.14633109111062836,0.002454971632010583,0.03164231938177586,-0.02918734774976528
1,vix_change_top_10pct,market_observable,137,2023-10-19,2023-10-19,1,2023-10-19,1548,2023-10-19,2023-10-19,0.10743951848565914,0.017725098498432956,0.012199301049654387,0.005525797448778569
1,vix_change_top_10pct,market_observable,138,2023-12-20,2023-12-20,1,2023-12-20,1591,2023-12-20,2023-12-20,0.08707788182788123,0.028335504734718242,-0.005460866362358985,0.03379637109707723
1,vix_change_top_10pct,market_observable,139,2024-02-13,2024-02-13,1,2024-02-13,1627,2024-02-13,2024-02-13,0.1291247125315751,-0.015338826726978283,-0.013884637194948368,-0.0014541895320299147
1,vix_change_top_10pct,market_observable,140,2024-04-04,2024-04-04,1,2024-04-04,1662,2024-04-04,2024-04-04,0.13187265550318195,0.0404569455869499,-0.005751211782366816,0.046208157369316716
1,vix_change_top_10pct,market_observable,141,2024-04-12,2024-04-15,2,2024-04-12,1668,2024-04-12,2024-04-12,0.1492522404114709,-0.05267924225677767,-0.013327746093359849,-0.03935149616341782
1,vix_change_top_10pct,market_observable,142,2024-05-29,2024-05-29,1,2024-05-29,1700,2024-05-29,2024-05-29,0.10008345855698231,-0.01706122831507173,-0.009347362870368414,-0.007713865444703316
1,vix_change_top_10pct,market_observable,143,2024-07-17,2024-07-18,2,2024-07-18,1734,2024-07-18,2024-07-18,0.09543573696438656,-0.016088589972106604,-0.006401633154546893,-0.009686956817559711
1,vix_change_top_10pct,market_observable,144,2024-07-24,2024-07-24,1,2024-07-24,1738,2024-07-24,2024-07-24,0.20338440133374736,0.0017686072109750484,-0.0035105070964620566,0.005279114307437105
1,vix_change_top_10pct,market_observable,145,2024-08-01,2024-08-05,3,2024-08-05,1746,2024-08-05,2024-08-05,0.5001661916240487,-0.15817931088299453,-0.012773165762624217,-0.1454061451203703
1,vix_change_top_10pct,market_observable,146,2024-08-28,2024-08-28,1,2024-08-28,1763,2024-08-28,2024-08-28,0.1033494215290327,-0.052956628691053,-0.007051666972007986,-0.04590496171904501
1,vix_change_top_10pct,market_observable,147,2024-09-03,2024-09-03,1,2024-09-03,1766,2024-09-03,2024-09-03,0.3230492162890721,-0.011204440172322805,-0.004332950273532532,-0.006871489898790273
1,vix_change_top_10pct,market_observable,148,2024-09-06,2024-09-06,1,2024-09-06,1769,2024-09-06,2024-09-06,0.11744797115333228,-0.04610053615848386,-0.007430165851405768,-0.038670370307078095
1,vix_change_top_10pct,market_observable,149,2024-09-27,2024-09-27,1,2024-09-27,1784,2024-09-27,2024-09-27,0.09844007281325284,0.014527015116126307,-0.007967487087646496,0.022494502203772804
1,vix_change_top_10pct,market_observable,150,2024-10-01,2024-10-01,1,2024-10-01,1786,2024-10-01,2024-10-01,0.1408268913712467,-0.02765993681032697,0.010436598143315656,-0.038096534953642625
1,vix_change_top_10pct,market_observable,151,2024-10-07,2024-10-07,1,2024-10-07,1790,2024-10-07,2024-10-07,0.16428727655451691,0.016127428362043617,-0.003393514036765133,0.01952094239880875
